short_name;character;unicode;styles;keyword;categories
candle-holder;;f6bc;regular;candle-holder;
candy-cane;;f786;regular;candy-cane;
candy-corn;;f6bd;regular;candy-corn;
cannabis;;f55f;regular;cannabis;
capsules;;f46b;regular;capsules;
car;;f1b9;regular;car;
car-alt;;f5de;regular;car-alt;
car-battery;;f5df;regular;car-battery;
car-building;;f859;regular;car-building;
car-bump;;f5e0;regular;car-bump;
car-bus;;f85a;regular;car-bus;
car-crash;;f5e1;regular;car-crash;
car-garage;;f5e2;regular;car-garage;
car-mechanic;;f5e3;regular;car-mechanic;
car-side;;f5e4;regular;car-side;
car-tilt;;f5e5;regular;car-tilt;
car-wash;;f5e6;regular;car-wash;
caravan;;f8ff;regular;caravan;
caravan-alt;;e000;regular;caravan-alt;
caret-circle-down;;f32d;regular;caret-circle-down;
caret-circle-left;;f32e;regular;caret-circle-left;
caret-circle-right;;f330;regular;caret-circle-right;
caret-circle-up;;f331;regular;caret-circle-up;
caret-down;;f0d7;regular;caret-down;
caret-left;;f0d9;regular;caret-left;
caret-right;;f0da;regular;caret-right;
caret-square-down;;f150;regular;caret-square-down;
caret-square-left;;f191;regular;caret-square-left;
caret-square-right;;f152;regular;caret-square-right;
caret-square-up;;f151;regular;caret-square-up;
caret-up;;f0d8;regular;caret-up;
carrot;;f787;regular;carrot;
cars;;f85b;regular;cars;
cart-arrow-down;;f218;regular;cart-arrow-down;
cart-plus;;f217;regular;cart-plus;
cash-register;;f788;regular;cash-register;
cassette-tape;;f8ab;regular;cassette-tape;
cat;;f6be;regular;cat;
cat-space;;e001;regular;cat-space;
cauldron;;f6bf;regular;cauldron;
cctv;;f8ac;regular;cctv;
certificate;;f0a3;regular;certificate;
chair;;f6c0;regular;chair;
chair-office;;f6c1;regular;chair-office;
chalkboard;;f51b;regular;chalkboard;
chalkboard-teacher;;f51c;regular;chalkboard-teacher;
charging-station;;f5e7;regular;charging-station;
chart-area;;f1fe;regular;chart-area;
chart-bar;;f080;regular;chart-bar;
chart-line;;f201;regular;chart-line;
chart-line-down;;f64d;regular;chart-line-down;
chart-network;;f78a;regular;chart-network;
chart-pie;;f200;regular;chart-pie;
chart-pie-alt;;f64e;regular;chart-pie-alt;
chart-scatter;;f7ee;regular;chart-scatter;
check;;f00c;regular;check;
check-circle;;f058;regular;check-circle;
check-double;;f560;regular;check-double;
check-square;;f14a;regular;check-square;
cheese;;f7ef;regular;cheese;
cheese-swiss;;f7f0;regular;cheese-swiss;
cheeseburger;;f7f1;regular;cheeseburger;
chess;;f439;regular;chess;
chess-bishop;;f43a;regular;chess-bishop;
chess-bishop-alt;;f43b;regular;chess-bishop-alt;
chess-board;;f43c;regular;chess-board;
chess-clock;;f43d;regular;chess-clock;
chess-clock-alt;;f43e;regular;chess-clock-alt;
chess-king;;f43f;regular;chess-king;
chess-king-alt;;f440;regular;chess-king-alt;
chess-knight;;f441;regular;chess-knight;
chess-knight-alt;;f442;regular;chess-knight-alt;
chess-pawn;;f443;regular;chess-pawn;
chess-pawn-alt;;f444;regular;chess-pawn-alt;
chess-queen;;f445;regular;chess-queen;
chess-queen-alt;;f446;regular;chess-queen-alt;
